test,period,psd
2_control_dd,3.4800000000000004,6099.731375936964
2_control_dd,3.4626865671641793,12482.75076939358
2_control_dd,3.4455445544554455,404.95229046202354
2_control_dd,3.4285714285714284,5291.493268679103
2_control_dd,3.4117647058823533,15655.89784365738
2_control_dd,3.3951219512195125,20064.079735594816
2_control_dd,3.378640776699029,12110.923668595478
2_control_dd,3.36231884057971,1077.4586698848257
2_control_dd,3.3461538461538467,829.5200831251708
2_control_dd,3.3301435406698565,5017.198559254913
2_control_dd,3.3142857142857145,5771.180952948603
2_control_dd,3.2985781990521326,1593.3209311288313
2_control_dd,3.283018867924528,2589.838073376727
2_control_dd,3.267605633802817,469.8211822750644
2_control_dd,3.252336448598131,4816.029128512955
2_control_dd,3.2372093023255815,4231.878052061354
2_control_dd,3.2222222222222223,435.78976974928514
2_control_dd,3.207373271889401,3360.8334970020737
2_control_dd,3.192660550458716,2094.6394765121913
2_control_dd,3.178082191780822,1180.230651441884
2_control_dd,3.1636363636363636,3401.8117088883187
2_control_dd,3.1493212669683257,4914.540698051748
2_control_dd,3.1351351351351355,601.2482330310548
2_control_dd,3.1210762331838566,3364.7567182429357
2_control_dd,3.107142857142857,1151.6799789094061
2_control_dd,3.0933333333333333,1481.3935266405
2_control_dd,3.079646017699115,1864.4636743273272
2_control_dd,3.0660792951541853,1634.1558948425568
2_control_dd,3.0526315789473686,1635.506031450743
2_control_dd,3.039301310043668,1703.372421529323
2_control_dd,3.026086956521739,1639.8806243859283
2_control_dd,3.012987012987013,1472.217930797519
2_control_dd,3.0,1361.640686148618
2_control_dd,2.9871244635193133,1519.2534122478248
2_control_dd,2.9743589743589745,1555.139940490034
2_control_dd,2.9617021276595743,1173.878306220828
2_control_dd,2.9491525423728815,1708.4189610523642
2_control_dd,2.9367088607594938,635.8842202750752
2_control_dd,2.9243697478991595,683.8283315900374
2_control_dd,2.912133891213389,1630.032516321625
2_control_dd,2.9,1401.6535342256495
2_control_dd,2.887966804979253,2516.5263513854393
2_control_dd,2.87603305785124,1648.836716066529
2_control_dd,2.8641975308641974,2500.0834659854368
2_control_dd,2.8524590163934427,811.1008695065159
2_control_dd,2.8408163265306126,2926.8365090699685
2_control_dd,2.829268292682927,2549.677530789406
2_control_dd,2.817813765182186,933.6699243518493
2_control_dd,2.8064516129032255,2109.915677353399
2_control_dd,2.795180722891566,1381.6324444925074
2_control_dd,2.7840000000000003,900.5653829533417
2_control_dd,2.7729083665338647,4293.010708625635
2_control_dd,2.761904761904762,4408.622292353039
2_control_dd,2.7509881422924902,1019.7424655963185
2_control_dd,2.7401574803149606,7205.539086105548
2_control_dd,2.7294117647058824,1513.7692409065694
2_control_dd,2.71875,879.0614258699944
2_control_dd,2.708171206225681,287.1843914575429
2_control_dd,2.697674418604651,5729.557502084957
2_control_dd,2.687258687258687,2730.3902114777825
2_control_dd,2.676923076923077,4132.927335933628
2_control_dd,2.6666666666666665,6357.162061884151
2_control_dd,2.6564885496183206,3454.211685534738
2_control_dd,2.64638783269962,12367.236527668947
2_control_dd,2.6363636363636367,1681.9415362591108
2_control_dd,2.6264150943396225,535.5335908019559
2_control_dd,2.6165413533834587,384.04532684773056
2_control_dd,2.6067415730337076,3644.712755690638
2_control_dd,2.5970149253731347,4422.840376293998
2_control_dd,2.587360594795539,1693.61971561469
2_control_dd,2.577777777777778,10346.73772644096
2_control_dd,2.5682656826568264,3084.2471138295386
2_control_dd,2.558823529411765,3509.3360760112437
2_control_dd,2.5494505494505497,4333.463142897961
2_control_dd,2.54014598540146,3043.24680142187
2_control_dd,2.5309090909090908,5279.706353675578
2_control_dd,2.5217391304347827,9132.521790304194
2_control_dd,2.512635379061372,16549.527073593763
2_control_dd,2.5035971223021583,8454.679426726569
2_control_dd,2.4946236559139785,25368.22413431265
