Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10479833,Optn,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,856.9;948.2;869.0;901.4;932.7;833.5;750.6;821.8;828.4;822.0;769.2;850.6;821.6;922.6;976.1;937.8;968.2;878.4;909.2;843.1;838.2;836.9;779.2;789.6,0.0112,0.771615,27.902,1.1,heart
10502510,Lmo4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,505.9;517.1;499.5;467.9;447.4;480.6;422.4;436.6;455.4;437.7;483.2;559.4;468.5;549.0;544.9;503.4;480.7;474.2;392.3;445.4;413.8;395.9;486.8;490.0,0.0113,0.771615,25.742,20.89,heart
10342457,,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,62.6;45.7;50.4;53.9;47.1;37.6;38.5;47.5;45.6;62.9;46.5;74.8;67.9;84.9;99.6;74.7;82.2;65.5;69.0;42.1;53.5;71.2;44.5;43.9,0.0115,0.771615,37.29,22.23,heart
10427997,Ankrd33b,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,309.0;324.0;271.3;281.4;277.7;267.5;237.4;235.2;234.4;273.6;272.1;298.7;276.2;270.6;324.4;281.2;287.2;257.0;221.2;257.7;242.6;256.6;250.0;298.7,0.0115,0.771615,24.783,21.25,heart
10358595,Hmcn1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,470.7;520.7;565.7;535.4;499.2;564.0;481.8;428.4;430.3;412.8;435.2;456.7;481.7;536.7;586.8;507.6;467.4;503.9;530.7;335.6;427.0;429.5;402.7;455.8,0.0115,0.771615,23.064,22.15,heart
10394690,E2f6,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1694.1;1739.3;1512.7;1550.0;1540.3;1459.1;1257.3;1406.5;1297.6;1493.8;1402.1;1493.6;1586.2;1530.5;1536.4;1742.4;1584.2;1448.4;1325.8;1448.2;1415.2;1423.2;1326.5;1337.3,0.0116,0.771615,27.902,22.0,heart
10363486,Lrrc20,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,623.7;543.6;533.4;560.1;518.3;505.5;474.6;524.1;492.7;562.5;536.4;586.2;606.8;669.6;696.8;609.9;522.9;520.4;487.6;507.0;528.4;510.6;470.4;587.8,0.0116,0.771615,27.902,20.82,heart
10506415,Oma1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,556.2;575.8;494.0;528.5;512.0;463.4;413.9;442.6;474.1;476.4;475.8;495.3;528.4;507.0;522.9;560.0;517.1;548.3;485.2;522.0;539.8;501.8;467.5;441.3,0.0118,0.771615,33.529,2.44,heart
10441864,Mllt4,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,697.8;679.1;650.4;717.9;672.9;687.5;601.5;637.0;604.1;598.6;642.1;657.2;696.7;714.1;756.3;786.7;699.5;744.0;679.7;633.1;623.2;629.2;625.4;661.8,0.0118,0.771615,25.742,22.8,heart
10599855,Eif4e,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1361.8;1470.1;1286.8;1273.9;1300.5;1246.6;1193.8;1263.3;1289.1;1396.9;1397.4;1424.6;1438.6;1468.8;1509.7;1458.4;1363.6;1378.1;1246.6;1308.3;1382.5;1313.5;1286.2;1278.9,0.0119,0.771615,31.92,20.48,heart
10358631,Hmcn1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,452.6;569.6;535.4;505.3;548.7;531.3;504.7;465.4;440.1;451.7;443.2;469.3;521.9;527.7;588.6;519.0;495.2;538.4;475.9;407.7;432.5;470.4;379.6;506.7,0.012,0.771615,23.064,22.08,heart
10358547,Hmcn1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,201.3;232.6;206.6;215.1;215.7;240.3;190.9;151.1;152.4;164.8;158.2;191.9;171.2;265.8;245.3;232.2;180.6;186.1;178.6;161.2;164.8;174.3;144.8;169.0,0.0121,0.771615,23.892,22.14,heart
10531133,Grsf1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,3493.5;3730.8;3210.3;3186.8;3190.1;3111.9;2904.9;3282.7;3052.9;3280.0;3293.4;3395.6;3529.8;3521.7;3419.3;3517.3;3387.4;3355.9;3202.3;3314.3;3174.4;3188.3;3159.9;3253.3,0.0121,0.771615,29.124,21.82,heart
10549341,4933424B01Rik,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,522.0;501.0;468.7;497.3;463.5;468.3;415.3;419.1;480.0;464.3;455.9;525.1;537.0;514.3;536.5;496.2;484.1;474.4;430.5;485.1;437.1;473.2;454.6;477.8,0.0122,0.771615,26.779,21.04,heart
10380823,Lasp1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,596.2;588.8;558.4;594.0;512.4;538.9;515.7;504.3;465.1;500.5;546.4;548.1;545.3;611.4;729.2;634.3;572.4;520.4;507.0;489.8;452.6;493.7;575.0;603.9,0.0122,0.771615,23.892,21.88,heart
10542791,Ppfibp1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,694.3;802.5;704.1;622.9;692.8;607.0;621.9;623.7;569.5;594.0;604.3;616.2;634.6;669.5;749.1;709.1;687.9;670.8;647.6;640.1;629.1;583.4;607.0;656.5,0.0124,0.771615,26.779,23.43,heart
